"id","atores","avaliacao","genero","poster","sinopse","titulo","total_temporadas"
"1","Bryan Cranston, Aaron Paul, Anna Gunn","9.5","CRIME","https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_SX300.jpg","Um professor de química diagnosticado com câncer de pulmão inoperável passa a fabricar e vender metanfetamina com um ex-aluno para garantir o futuro de sua família.","Breaking Bad",5
"2","Lily Collins, Ashley Park, Philippine Leroy-Beaulieu","6.9","COMEDIA","https://m.media-amazon.com/images/M/MV5BYjg0OTY5N2UtZDljZS00NDc2LWI1MDAtMDdmN2Q3OTNkMjA1XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg","Uma jovem americana do Centro-Oeste é contratada por uma empresa de marketing em Paris para fornecer-lhes uma perspectiva americana sobre as coisas.","Emily in Paris",4
"3","Jennifer Aniston, Courteney Cox, Lisa Kudrow","8.9","COMEDIA","https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg","Segue a vida pessoal e profissional de seis amigos de vinte a trinta anos que vivem no bairro de Manhattan, em Nova York.","Friends",10
"4","Andrew Lincoln, Norman Reedus, Melissa McBride","8.1","DRAMA","https://m.media-amazon.com/images/M/MV5BNzI5MjUyYTEtMTljZC00NGI5LWFhNWYtYjY0ZTQ5YmEzMWRjXkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_SX300.jpg","O xerife-adjunto Rick Grimes acorda de um coma para descobrir que o mundo está em ruínas e deve liderar um grupo de sobreviventes para se manter vivo.","The Walking Dead",11
"5","Johnny Galecki, Jim Parsons, Kaley Cuoco","8.1","COMEDIA","https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_SX300.jpg","A aspirante a atriz de cinema Penny muda-se para um apartamento em Pasadena do outro lado do corredor dos brilhantes, mas socialmente desajeitados, físicos Sheldon Cooper e Leonard Hofstadter e mostra-lhes o quão pouco sabem sobre a vida fora do laboratório.","The Big Bang Theory",12
"6","Pedro Pascal, Bella Ramsey, Anna Torv","8.7","ACAO","https://m.media-amazon.com/images/M/MV5BZGUzYTI3M2EtZmM0Yy00NGUyLWI4ODEtN2Q3ZGJlYzhhZjU3XkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_SX300.jpg","Depois que uma pandemia global destrói a civilização, um sobrevivente endurecido se encarrega de uma menina de 14 anos que pode ser a última esperança da humanidade.","The Last of Us",2
"7","Lady Gaga, Kathy Bates, Angela Bassett","8","DRAMA","https://m.media-amazon.com/images/M/MV5BM2ZlMjQ2ZmEtODEwYi00ZTk5LThmY2UtYWFiNzE3MjZjNzQyXkEyXkFqcGdeQXVyMTU1ODIwMTM1._V1_SX300.jpg","Uma série de antologias centrada em diferentes personagens e locais, mostrando diferentes aspectos do horror.","American Horror Story",12
"8","Hynden Walch, Greg Cipes, Scott Menville","7.9","ANIMACAO","https://m.media-amazon.com/images/M/MV5BNjQ1NjBhZmQtZTlkOC00YTM2LWE3NjgtNmZjOWJhMjRkMTY1XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg","Uma equipe de cinco super-heróis adolescentes salva o mundo de muitos vilões em sua cidade enquanto experimenta coisas que os adolescentes normais enfrentam hoje.","Teen Titans",5
"9","Alexandre Crepet, Junko Takeuchi, Maile Flanagan","8.7","ANIMACAO","https://m.media-amazon.com/images/M/MV5BZGFiMWFhNDAtMzUyZS00NmQ2LTljNDYtMmZjNTc5MDUxMzViXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_SX300.jpg","Naruto Uzumaki, é um ninja adolescente alto e hiperativo que busca constantemente aprovação e reconhecimento, bem como se tornar Hokage, que é reconhecido como o líder e mais forte de todos os ninjas da aldeia.","Naruto: Shippuden",23
"10","Steve Carell, Jenna Fischer, John Krasinski","9","COMEDIA","https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg","Um mockumentary sobre um grupo de trabalhadores de escritório típicos, onde a jornada de trabalho consiste em confrontos de ego, comportamento inadequado, tédio e romance.","The Office",9
